;date;nbVente;nom;code
0;03/01/2017;180.0;MMM;MMM
1;04/01/2017;178.9;MMM;MMM
2;05/01/2017;179.14;MMM;MMM
3;06/01/2017;178.6;MMM;MMM
4;09/01/2017;178.38;MMM;MMM
5;10/01/2017;177.49;MMM;MMM
6;11/01/2017;178.45;MMM;MMM
7;12/01/2017;177.7;MMM;MMM
8;13/01/2017;177.91;MMM;MMM
9;17/01/2017;177.68;MMM;MMM
10;18/01/2017;179.44;MMM;MMM
11;19/01/2017;179.8;MMM;MMM
12;20/01/2017;179.46;MMM;MMM
13;23/01/2017;178.99;MMM;MMM
14;24/01/2017;177.76;MMM;MMM
15;25/01/2017;178.63;MMM;MMM
16;26/01/2017;177.23;MMM;MMM
17;27/01/2017;177.98;MMM;MMM
18;30/01/2017;177.73;MMM;MMM
19;31/01/2017;175.46;MMM;MMM
20;01/02/2017;175.8;MMM;MMM
21;02/02/2017;174.78;MMM;MMM
22;03/02/2017;175.3;MMM;MMM
23;06/02/2017;176.2;MMM;MMM
24;07/02/2017;176.4;MMM;MMM
25;08/02/2017;177.6;MMM;MMM
26;09/02/2017;178.55;MMM;MMM
27;10/02/2017;179.58;MMM;MMM
28;13/02/2017;181.38;MMM;MMM
29;14/02/2017;182.0;MMM;MMM
30;15/02/2017;181.83;MMM;MMM
31;16/02/2017;183.46;MMM;MMM
32;17/02/2017;183.6;MMM;MMM
33;21/02/2017;183.62;MMM;MMM
34;22/02/2017;186.12;MMM;MMM
35;23/02/2017;187.46;MMM;MMM
36;24/02/2017;188.41;MMM;MMM
37;27/02/2017;187.55;MMM;MMM
38;28/02/2017;187.5;MMM;MMM
39;01/03/2017;190.54;MMM;MMM
40;02/03/2017;190.1;MMM;MMM
41;03/03/2017;190.24;MMM;MMM
42;06/03/2017;189.24;MMM;MMM
43;07/03/2017;189.26;MMM;MMM
44;08/03/2017;190.21;MMM;MMM
45;09/03/2017;190.39;MMM;MMM
46;10/03/2017;191.24;MMM;MMM
47;13/03/2017;191.96;MMM;MMM
48;14/03/2017;191.44;MMM;MMM
49;15/03/2017;191.86;MMM;MMM
50;16/03/2017;191.64;MMM;MMM
51;17/03/2017;192.36;MMM;MMM
52;20/03/2017;193.5;MMM;MMM
53;21/03/2017;193.49;MMM;MMM
54;22/03/2017;192.88;MMM;MMM
55;23/03/2017;192.97;MMM;MMM
56;24/03/2017;192.62;MMM;MMM
57;27/03/2017;191.0;MMM;MMM
58;28/03/2017;191.49;MMM;MMM
59;29/03/2017;191.28;MMM;MMM
60;30/03/2017;191.49;MMM;MMM
61;31/03/2017;192.4;MMM;MMM
62;03/04/2017;192.17;MMM;MMM
63;04/04/2017;190.98;MMM;MMM
64;05/04/2017;192.42;MMM;MMM
65;06/04/2017;191.02;MMM;MMM
66;07/04/2017;190.56;MMM;MMM
67;10/04/2017;190.52;MMM;MMM
68;11/04/2017;190.09;MMM;MMM
69;12/04/2017;190.49;MMM;MMM
70;13/04/2017;189.86;MMM;MMM
71;17/04/2017;190.36;MMM;MMM
72;18/04/2017;190.84;MMM;MMM
73;19/04/2017;191.13;MMM;MMM
74;20/04/2017;192.11;MMM;MMM
75;21/04/2017;191.62;MMM;MMM
76;24/04/2017;194.45;MMM;MMM
77;25/04/2017;195.61;MMM;MMM
78;26/04/2017;196.9;MMM;MMM
79;27/04/2017;196.54;MMM;MMM
80;28/04/2017;197.12;MMM;MMM
81;01/05/2017;195.73;MMM;MMM
82;02/05/2017;196.53;MMM;MMM
83;03/05/2017;197.87;MMM;MMM
84;04/05/2017;199.54;MMM;MMM
85;05/05/2017;199.9;MMM;MMM
86;08/05/2017;199.15;MMM;MMM
87;09/05/2017;199.36;MMM;MMM
88;10/05/2017;197.59;MMM;MMM
89;11/05/2017;196.94;MMM;MMM
90;12/05/2017;197.12;MMM;MMM
91;15/05/2017;197.74;MMM;MMM
92;16/05/2017;197.94;MMM;MMM
93;17/05/2017;195.91;MMM;MMM
94;18/05/2017;195.82;MMM;MMM
95;19/05/2017;196.3;MMM;MMM
96;22/05/2017;198.67;MMM;MMM
97;23/05/2017;198.97;MMM;MMM
98;24/05/2017;198.53;MMM;MMM
99;25/05/2017;199.61;MMM;MMM
100;26/05/2017;200.69;MMM;MMM
101;30/05/2017;203.03;MMM;MMM
102;31/05/2017;204.47;MMM;MMM
103;01/06/2017;204.9;MMM;MMM
104;02/06/2017;207.39;MMM;MMM
105;05/06/2017;207.33;MMM;MMM
106;06/06/2017;206.66;MMM;MMM
107;07/06/2017;205.87;MMM;MMM
108;08/06/2017;206.03;MMM;MMM
109;09/06/2017;206.97;MMM;MMM
110;12/06/2017;208.42;MMM;MMM
111;13/06/2017;209.66;MMM;MMM
112;14/06/2017;210.78;MMM;MMM
113;15/06/2017;211.32;MMM;MMM
114;16/06/2017;213.46;MMM;MMM
115;19/06/2017;214.0;MMM;MMM
116;20/06/2017;214.57;MMM;MMM
117;21/06/2017;214.02;MMM;MMM
118;22/06/2017;213.12;MMM;MMM
119;23/06/2017;213.17;MMM;MMM
120;26/06/2017;213.47;MMM;MMM
121;27/06/2017;212.5;MMM;MMM
122;28/06/2017;211.18;MMM;MMM
123;29/06/2017;211.05;MMM;MMM
124;30/06/2017;209.91;MMM;MMM
125;03/07/2017;210.34;MMM;MMM
126;05/07/2017;210.24;MMM;MMM
127;06/07/2017;209.72;MMM;MMM
128;07/07/2017;210.15;MMM;MMM
129;10/07/2017;211.74;MMM;MMM
130;11/07/2017;211.2;MMM;MMM
131;12/07/2017;212.78;MMM;MMM
132;13/07/2017;212.0;MMM;MMM
133;14/07/2017;212.24;MMM;MMM
134;17/07/2017;212.2;MMM;MMM
135;18/07/2017;211.52;MMM;MMM
136;19/07/2017;212.1;MMM;MMM
137;20/07/2017;213.41;MMM;MMM
138;21/07/2017;211.84;MMM;MMM
139;24/07/2017;211.66;MMM;MMM
140;25/07/2017;204.5;MMM;MMM
141;26/07/2017;201.15;MMM;MMM
142;27/07/2017;200.56;MMM;MMM
143;28/07/2017;201.04;MMM;MMM
144;31/07/2017;201.66;MMM;MMM
145;01/08/2017;203.31;MMM;MMM
146;02/08/2017;205.6;MMM;MMM
147;03/08/2017;207.64;MMM;MMM
148;04/08/2017;208.61;MMM;MMM
149;07/08/2017;208.4;MMM;MMM
150;08/08/2017;207.89;MMM;MMM
151;09/08/2017;207.91;MMM;MMM
152;10/08/2017;207.16;MMM;MMM
153;11/08/2017;206.85;MMM;MMM
154;14/08/2017;207.63;MMM;MMM
155;15/08/2017;207.84;MMM;MMM
156;16/08/2017;208.63;MMM;MMM
157;17/08/2017;208.12;MMM;MMM
158;18/08/2017;205.63;MMM;MMM
159;21/08/2017;204.9;MMM;MMM
160;22/08/2017;205.86;MMM;MMM
161;23/08/2017;204.1;MMM;MMM
162;24/08/2017;203.89;MMM;MMM
163;25/08/2017;203.45;MMM;MMM
164;28/08/2017;203.27;MMM;MMM
165;29/08/2017;203.08;MMM;MMM
166;30/08/2017;203.69;MMM;MMM
167;31/08/2017;204.62;MMM;MMM
168;01/09/2017;204.91;MMM;MMM
169;05/09/2017;202.53;MMM;MMM
170;06/09/2017;202.25;MMM;MMM
171;07/09/2017;204.71;MMM;MMM
172;08/09/2017;206.12;MMM;MMM
173;11/09/2017;209.78;MMM;MMM
174;12/09/2017;210.96;MMM;MMM
175;13/09/2017;210.29;MMM;MMM
176;14/09/2017;211.91;MMM;MMM
177;15/09/2017;214.12;MMM;MMM
178;18/09/2017;214.04;MMM;MMM
179;19/09/2017;214.65;MMM;MMM
180;20/09/2017;212.6;MMM;MMM
181;21/09/2017;211.62;MMM;MMM
182;22/09/2017;211.3;MMM;MMM
183;25/09/2017;211.22;MMM;MMM
184;26/09/2017;212.83;MMM;MMM
185;27/09/2017;211.38;MMM;MMM
186;28/09/2017;209.88;MMM;MMM
187;29/09/2017;209.9;MMM;MMM
188;02/10/2017;212.79;MMM;MMM
189;03/10/2017;214.6;MMM;MMM
190;04/10/2017;216.94;MMM;MMM
191;05/10/2017;217.61;MMM;MMM
192;06/10/2017;216.54;MMM;MMM
193;09/10/2017;217.21;MMM;MMM
194;10/10/2017;217.6;MMM;MMM
195;11/10/2017;216.86;MMM;MMM
196;12/10/2017;217.64;MMM;MMM
197;13/10/2017;219.76;MMM;MMM
198;16/10/2017;218.73;MMM;MMM
199;17/10/2017;218.72;MMM;MMM
200;18/10/2017;218.64;MMM;MMM
201;19/10/2017;219.25;MMM;MMM
202;20/10/2017;221.32;MMM;MMM
203;23/10/2017;222.78;MMM;MMM
204;24/10/2017;238.9;MMM;MMM
205;25/10/2017;237.94;MMM;MMM
206;26/10/2017;238.8;MMM;MMM
207;27/10/2017;234.95;MMM;MMM
208;30/10/2017;233.66;MMM;MMM
209;31/10/2017;231.6;MMM;MMM
210;01/11/2017;231.76;MMM;MMM
211;02/11/2017;232.8;MMM;MMM
212;03/11/2017;232.58;MMM;MMM
213;06/11/2017;232.63;MMM;MMM
214;07/11/2017;230.77;MMM;MMM
215;08/11/2017;230.65;MMM;MMM
216;09/11/2017;229.4;MMM;MMM
